                             ARTIST NAME                        NUMBER OF APPEARENCES  

                               Meek Mill                                    1
              YoungBoy Never Broke Again                                    1
                                   BØRNS                                    1
                                Surfaces                                    1
                             Miley Cyrus                                    1
                            Jason Derulo                                    1
                               DJ Khaled                                    2
                       Machine Gun Kelly                                    1
                           Billie Eilish                                    5
                                   Lizzo                                    1
                                 6ix9ine                                    1
                                   Migos                                    1
                                Lil Tjay                                    1
                              Luke Bryan                                    1
                               Surf Mesa                                    1
                                 Cardi B                                    1
                               YNW Melly                                    2
                             $uicideBoy$                                    1
                            Travis Scott                                    4
                               Lady Gaga                                    1
                              Nio Garcia                                    1
                                     BTS                                    1
                             Roddy Ricch                                    2
                             Post Malone                                    7
                           Lewis Capaldi                                    2
                                    Joji                                    1
                      Peach Tree Rascals                                    1
                             Chris Brown                                    2
                               Grouplove                                    1
                               Jawsh 685                                    1
                       Claire Rosinkranz                                    1
                              Luke Combs                                    1
                                Doja Cat                                    1
                                24kGoldn                                    1
                              Juice WRLD                                    20
                                  Polo G                                    4
                               blackbear                                    2
                             Tame Impala                                    1
                                Maroon 5                                    2
                              THE SCOTTS                                    1
                                  DaBaby                                    4
                                 J. Cole                                    3
                           Gabby Barrett                                    1
                                Lil Baby                                    5
                                 G Herbo                                    1
                             Don Toliver                                    1
                              Tate McRae                                    1
                                Rod Wave                                    2
                             NextYoungin                                    1
                              Marshmello                                    1
                                  Maluma                                    1
                              Joel Corry                                    1
                           Justin Bieber                                    1
                           Morgan Wallen                                    5
                                 KAROL G                                    1
                              Conan Gray                                    2
                               iann dior                                    1
                              Noah Cyrus                                    1
                                 Wallows                                    1
                                   BENEE                                    1
                              Bea Miller                                    1
                               Money Man                                    1
                                 JP Saxe                                    1
                             Tones And I                                    1
                              Dan + Shay                                    2
                             The Killers                                    1
                            Lil Uzi Vert                                    4
                              Kane Brown                                    1
                                   Powfu                                    1
                            Harry Styles                                    3
                       The Neighbourhood                                    1
                               SAINt JHN                                    1
                           Curtis Waters                                    1
                     Megan Thee Stallion                                    3
                                JACKBOYS                                    1
                                J Balvin                                    1
                               Lil Mosey                                    1
                          Arizona Zervas                                    1
                                Labrinth                                    1
                          Internet Money                                    1
                                  Eminem                                    1
                          Kendrick Lamar                                    1
                              City Girls                                    1
                               Pop Smoke                                    6
                              The Weeknd                                    1
                                   Diplo                                    1
                            Taylor Swift                                    12
                            James Arthur                                    1
                             Jack Harlow                                    2
                                Saweetie                                    1
                                   Gunna                                    1
                                Lil Durk                                    1
                            XXXTENTACION                                    4
                          StaySolidRocky                                    1
                           Trevor Daniel                                    1
                            Maddie & Tae                                    1
                                   Topic                                    1
                            Social House                                    1
                           The Kid LAROI                                    1
                           Ariana Grande                                    1
                                 Ava Max                                    1
                                Dua Lipa                                    2
                               Lil Tecca                                    1
                                Lil Peep                                    1
                            Moneybagg Yo                                    1
                                  Future                                    2
                                 Mustard                                    1
                              NLE Choppa                                    2
                                   Drake                                    4
